Person,Age,Gender,State,Children,Salary,Opinion,,,
1,Middle-aged,2,Texas,2,63017.00,Strongly agree,,,
2,Middle-aged,2,Virginia,3,100302.00,Strongly disagree,,,
3,Middle-aged,2,California,0,144043.00,Strongly agree,,,
4,Young,2,California,0,36025.00,Agree,,,
5,Middle-aged,1,Texas,0,97543.00,Neutral,,,
6,Middle-aged,1,California,3,69222.00,Disagree,,,
7,Middle-aged,2,Michigan,2,81799.00,Disagree,,,
8,Middle-aged,2,Texas,1,101894.00,Agree,,,
9,Middle-aged,1,Virginia,0,83843.00,Strongly disagree,,,
10,Middle-aged,1,Illinois,3,87457.00,Agree,,,
11,Elderly,2,Arizona,0,48966.00,Disagree,,,
12,Middle-aged,2,Arizona,1,88855.00,Disagree,,,
13,Middle-aged,1,Minnesota,1,115138.00,Strongly agree,,,
14,Elderly,2,Texas,2,67748.00,Neutral,,,
15,Young,2,Texas,2,47172.00,Neutral,,,
16,Middle-aged,2,Michigan,0,39086.00,Disagree,,,
17,Middle-aged,1,Texas,0,126983.00,Disagree,,,
18,Elderly,2,California,2,66001.00,Neutral,,,
19,Elderly,2,Florida,2,67723.00,Disagree,,,
20,Young,2,Illinois,1,53335.00,Strongly disagree,,,
21,Elderly,2,Florida,2,67683.00,Neutral,,,
22,Elderly,1,New York,3,45483.00,Disagree,,,
23,Elderly,1,Texas,0,64364.00,Agree,,,
24,Middle-aged,1,Florida,2,102315.00,Neutral,,,
25,Middle-aged,2,Michigan,2,93370.00,Strongly agree,,,
26,Middle-aged,2,Arizona,2,148075.00,Disagree,,,
27,Middle-aged,1,New York,0,97857.00,Agree,,,
28,Elderly,1,Illinois,2,62929.00,Strongly agree,,,
29,Young,2,California,2,37963.00,Strongly disagree,,,
30,Middle-aged,1,New York,0,76476.00,Strongly agree,,,
31,Middle-aged,2,Texas,2,81674.00,Strongly disagree,,,
32,Young,2,Virginia,2,49505.00,Strongly disagree,,,
33,Young,1,California,3,49723.00,Strongly disagree,,,
34,Elderly,2,Arizona,0,81981.00,Agree,,,
35,Elderly,2,Michigan,2,66636.00,Agree,,,
36,Young,2,Arizona,3,39665.00,Strongly disagree,,,
37,Middle-aged,2,Virginia,0,102213.00,Strongly agree,,,
38,Middle-aged,1,Arizona,0,91650.00,Strongly agree,,,
39,Middle-aged,1,Virginia,0,90349.00,Agree,,,
40,Young,2,Virginia,2,47927.00,Disagree,,,
41,Middle-aged,2,Florida,3,81926.00,Neutral,,,
42,Middle-aged,1,Ohio,0,104032.00,Strongly disagree,,,
43,Middle-aged,1,Arizona,2,92590.00,Strongly disagree,,,
44,Middle-aged,1,California,0,62268.00,Strongly agree,,,
45,Middle-aged,1,Florida,2,107121.00,Strongly agree,,,
46,Middle-aged,2,New York,3,75368.00,Disagree,,,
47,Middle-aged,2,Illinois,3,120713.00,Strongly agree,,,
48,Middle-aged,2,New York,1,93344.00,Agree,,,
49,Young,2,Ohio,0,35629.00,Disagree,,,
50,Middle-aged,2,Ohio,2,122748.00,Strongly agree,,,
51,Young,1,California,0,41967.00,Strongly disagree,,,
52,Middle-aged,2,Virginia,3,63642.00,Disagree,,,
53,Middle-aged,1,Michigan,2,97785.00,Strongly disagree,,,
54,Elderly,2,Florida,1,82218.00,Neutral,,,
55,Middle-aged,2,Arizona,2,127638.00,Strongly disagree,,,
56,Young,2,Minnesota,2,55958.00,Disagree,,,
57,Middle-aged,2,Texas,2,73629.00,Disagree,,,
58,Middle-aged,1,Florida,3,127108.00,Neutral,,,
59,Elderly,2,Virginia,0,91767.00,Strongly disagree,,,
60,Elderly,1,California,3,80366.00,Strongly agree,,,
61,Middle-aged,1,Texas,0,109183.00,Disagree,,,
62,Middle-aged,2,Ohio,3,80445.00,Agree,,,
63,Young,1,Minnesota,2,30020.00,Neutral,,,
64,Young,2,New York,0,37255.00,Disagree,,,
65,Middle-aged,1,New York,0,96180.00,Agree,,,
66,Young,1,Arizona,2,45424.00,Disagree,,,
67,Middle-aged,1,Illinois,2,85526.00,Neutral,,,
68,Elderly,1,California,2,67073.00,Strongly agree,,,
69,Middle-aged,1,Arizona,3,127725.00,Agree,,,
70,Middle-aged,1,California,0,61803.00,Agree,,,
71,Elderly,2,Texas,0,34199.00,Disagree,,,
72,Middle-aged,1,Virginia,2,85906.00,Strongly disagree,,,
73,Elderly,2,Illinois,3,79877.00,Strongly agree,,,
74,Middle-aged,2,Arizona,0,71281.00,Strongly disagree,,,
75,Young,2,Virginia,0,55269.00,Strongly agree,,,
76,Young,2,Arizona,2,26600.00,Agree,,,
77,Middle-aged,2,Ohio,2,102900.00,Strongly disagree,,,
78,Elderly,2,Virginia,2,84837.00,Agree,,,
79,Elderly,1,Florida,0,106185.00,Strongly disagree,,,
80,Young,1,Florida,2,48213.00,Agree,,,
81,Middle-aged,2,Illinois,2,71679.00,Agree,,,
82,Middle-aged,2,Florida,3,74707.00,Strongly agree,,,
83,Elderly,2,Florida,0,80440.00,Strongly agree,,,
84,Middle-aged,1,New York,1,92094.00,Agree,,,
85,Middle-aged,1,Florida,2,54291.00,Strongly agree,,,
86,Middle-aged,2,Michigan,2,85534.00,Agree,,,
87,Middle-aged,2,New York,2,71370.00,Disagree,,,
88,Young,2,Ohio,2,39733.00,Neutral,,,
89,Elderly,2,Michigan,0,59892.00,Strongly disagree,,,
90,Young,2,Virginia,2,38097.00,Strongly agree,,,
91,Middle-aged,2,Texas,2,144884.00,Strongly disagree,,,
92,Young,2,California,3,48251.00,Strongly disagree,,,
93,Middle-aged,1,Texas,0,91778.00,Agree,,,
94,Middle-aged,1,Illinois,0,96961.00,Strongly disagree,,,
95,Elderly,2,Texas,2,83939.00,Disagree,,,
96,Young,2,Ohio,2,41734.00,Neutral,,,
97,Middle-aged,2,Texas,3,148408.00,Strongly agree,,,
98,Middle-aged,2,California,0,79709.00,Neutral,,,
99,Middle-aged,1,Minnesota,0,86896.00,Strongly disagree,,,
100,Middle-aged,2,New York,2,86913.00,Strongly disagree,,,
101,Young,2,Arizona,2,43267.00,Strongly agree,,,
102,Elderly,2,Virginia,0,88636.00,Strongly agree,,,
103,Middle-aged,1,Illinois,1,111391.00,Neutral,,,
104,Middle-aged,1,Texas,2,85110.00,Disagree,,,
